Date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2/11/22,23856,78475,47900,51678,36800,64275,108059,33067,20592,35683,23996,123917,66572,56982,18300,153649,39199,35300,53700,27742,76203,77437,27530,81700,132800,77858,24401,34600
2/14/22,22720,78277,44750,50834,34600,63854,112926,32434,19272,34964,22618,125406,64948,57750,17700,161639,37895,32850,51500,25897,72816,75882,26491,81800,140000,77004,23335,33000
2/15/22,23054,81352,46200,51397,34950,63924,114289,32483,19470,34813,23113,132768,65588,56599,18100,163661,38417,33500,51800,26382,73663,77728,26665,83700,139200,77099,23968,34000
2/16/22,22854,81154,45150,53835,34650,64065,111466,32873,19305,34813,23077,130783,65391,56599,18200,162121,39025,33600,51600,26156,73663,77728,26318,82900,139200,76339,23768,34300
2/17/22,22921,83832,46000,53367,34900,65117,115554,33116,19635,35191,23466,134836,66178,57558,18600,164142,39112,33900,52200,26641,74086,78505,27011,83100,141600,76719,24201,34450
2/18/22,22620,83039,44700,53742,34600,64696,113900,32726,19470,35607,23077,135085,65932,57366,18550,163083,39286,33350,51600,26415,73832,77437,27040,82200,149000,76529,23935,33600
2/21/22,22987,81749,45250,53648,34400,65608,112731,33700,19536,35305,23077,132603,65883,57462,18400,163276,39981,33200,51500,26480,74002,77728,26896,83600,146000,76909,23935,34100
2/22/22,23188,81055,46000,52804,34600,65187,113413,33360,19503,35116,24314,130287,67753,59477,17800,162121,39112,33700,51400,26868,73494,77048,26838,82000,142800,75959,23701,34500
2/23/22,23121,82543,45600,54023,34850,65258,113900,33360,19569,35343,24279,130038,67802,59956,18150,163468,39373,33600,51700,27580,73578,77145,27069,82500,148200,75959,23935,34900
2/24/22,23021,82245,44600,55336,33850,64556,115847,32824,19008,34813,24032,131941,67310,60820,17750,163372,38765,32900,50500,26706,72224,76368,27040,80100,148000,74630,24601,34000
2/25/22,22954,81451,44550,55336,33850,64766,114094,33116,19305,34737,24102,130700,67703,59860,17850,163276,39721,33000,50700,27159,72054,76076,27357,79100,145100,74915,25468,34000
2/28/22,22653,78376,43700,55430,33150,65468,114873,33262,19008,35721,24314,129046,66916,59764,17350,163468,39721,32850,50400,27354,71546,75299,27069,77000,140100,74440,25335,33500
3/1/22,22620,76292,44100,56086,33300,65538,114581,34772,18843,35494,24032,129459,66916,58805,17450,161736,39981,32650,50300,27710,71970,75785,27126,79200,140900,75200,25168,33500
3/2/22,21985,77880,42450,55336,32000,65328,116041,34480,18051,35494,22971,129873,66178,58997,17450,164159,38938,31250,49200,26836,71970,75299,26434,78900,145000,74535,24335,32800
3/3/22,22353,79368,42800,55336,32600,65538,117501,35356,18645,37916,23395,131610,67162,60244,17200,162314,39547,31850,49650,26868,72393,75785,26549,79000,143400,74440,24968,32700
3/4/22,22921,78277,43300,55993,32750,65608,114873,35064,18480,37689,23254,133430,66818,58613,17300,155417,40503,32000,49950,26382,71885,75688,26434,79000,139400,73965,25401,33750
3/7/22,22219,75995,42250,55242,32150,65819,121298,35795,18084,38672,22759,130866,66031,60724,17050,150172,40677,31500,49250,25249,71885,74036,25914,78500,134200,72921,25135,32900
3/8/22,21785,74209,41600,54773,32050,66521,117501,35356,18051,37424,21911,131362,66031,58805,17200,151143,40851,30850,49000,25120,69006,72481,25741,77900,137000,72256,24668,32500
3/9/22,21851,70935,40500,52898,32000,67012,118962,35064,17820,37726,21734,128632,65834,60436,16750,150560,40503,31100,49100,25120,70276,71898,25683,78000,140000,71307,24568,31600
3/10/22,21985,72820,40950,53835,32100,66380,115360,34626,17787,37197,21946,124083,65686,58805,16600,152503,40503,31550,49250,25249,70699,73064,25626,79100,139000,73206,24501,32000
3/11/22,21851,71828,41850,53460,32250,65398,109908,33603,18018,36024,22229,117878,65440,55639,16150,149589,39112,32050,48900,25023,70953,72870,25222,79000,138500,74060,24268,31850
